Link,Incident,Type,State,Incident Size,Updated Sort ascending
https://inciweb.nwcg.gov/incident-information//incident-information/orwif-lookout-fire,Lookout Fire,Wildfire,Oregon,25754 Acres,1 week ago
https://inciweb.nwcg.gov/incident-information//incident-information/orwif-2023-horse-creek-fire,2023 Horse Creek Fire,Wildfire,Oregon,763 Acres,1 week ago
https://inciweb.nwcg.gov/incident-information//incident-information/casrf-smith-river-complex-postfire-baer,Smith River Complex Post-Fire BAER,Burned Area Emergency Response,California,Acres,1 week 1 day ago
https://inciweb.nwcg.gov/incident-information//incident-information/casrf-2023-srf-lightning-complex-postfire-baer,2023 SRF Lightning Complex Post-Fire BAER,Burned Area Emergency Response,California,Acres,1 week 1 day ago
https://inciweb.nwcg.gov/incident-information//incident-information/cainf-inyo-national-forestflood-response,INYO NATIONAL FOREST--FLOOD RESPONSE,Flood,California,,1 week 1 day ago
https://inciweb.nwcg.gov/incident-information//incident-information/cogmf-cow-creek-prescribed-burn,Cow Creek Prescribed Burn,Prescribed Fire,Colorado,Acres,1 week 1 day ago
https://inciweb.nwcg.gov/incident-information//incident-information/cogmf-spring-creek,Spring Creek,Wildfire,Colorado,16 Acres,1 week 1 day ago
https://inciweb.nwcg.gov/incident-information//incident-information/waolp-2023-olympic-national-park-lightning-fires,2023 Olympic National Park Lightning Fires,Wildfire,Washington,4795 Acres,1 week 2 days ago
https://inciweb.nwcg.gov/incident-information//incident-information/orupf-dinner-fire,Dinner Fire,Wildfire,Oregon,304 Acres,1 week 3 days ago
https://inciweb.nwcg.gov/incident-information//incident-information/orupf-brice-creek-fire,Brice Creek Fire,Wildfire,Oregon,571 Acres,1 week 3 days ago
https://inciweb.nwcg.gov/incident-information//incident-information/orupf-2023-ridge-fire-unf,2023 Ridge Fire UNF,Wildfire,Oregon,214 Acres,1 week 3 days ago
https://inciweb.nwcg.gov/incident-information//incident-information/orupf-2023-chilcoot-fire-unf,2023 Chilcoot Fire UNF,Wildfire,Oregon,1940 Acres,1 week 3 days ago
https://inciweb.nwcg.gov/incident-information//incident-information/lalas-lions-camp-road-fire,Lions Camp Road Fire,Wildfire,Louisiana,785 Acres,1 week 3 days ago
https://inciweb.nwcg.gov/incident-information//incident-information/mthlf-sidney-fire,Sidney Fire,Wildfire,Montana,228 Acres,1 week 4 days ago
https://inciweb.nwcg.gov/incident-information//incident-information/orupf-grizzly-fire,Grizzly Fire,Wildfire,Oregon,324 Acres,1 week 4 days ago
https://inciweb.nwcg.gov/incident-information//incident-information/aztnf-valentine-fire,Valentine Fire,Wildfire,Arizona,9644 Acres,1 week 6 days ago
https://inciweb.nwcg.gov/incident-information//incident-information/cashf-south-fork-complex,South Fork Complex,Wildfire,California,3929 Acres,1 week 6 days ago
https://inciweb.nwcg.gov/incident-information//incident-information/cosjf-bear-creek-fire,Bear Creek Fire,Wildfire,Colorado,1093 Acres,1 week 6 days ago
https://inciweb.nwcg.gov/incident-information//incident-information/cosjf-quartz-ridge-fire,Quartz Ridge Fire,Wildfire,Colorado,2850 Acres,1 week 6 days ago
https://inciweb.nwcg.gov/incident-information//incident-information/ormhf-camp-creek-fire,Camp Creek Fire,Wildfire,Oregon,2055 Acres,1 week 6 days ago
https://inciweb.nwcg.gov/incident-information//incident-information/cosjf-hope-fire,Hope Fire,Wildfire,Colorado,1290 Acres,1 week 6 days ago
https://inciweb.nwcg.gov/incident-information//incident-information/nmgnf-turkey-fire,Turkey Fire,Wildfire,New Mexico,5220 Acres,2 weeks ago
https://inciweb.nwcg.gov/incident-information//incident-information/wagpf-cowlitz-complex,Cowlitz Complex,Wildfire,Washington,731 Acres,2 weeks ago
https://inciweb.nwcg.gov/incident-information//incident-information/lakif-ida,Ida,Wildfire,Louisiana,3628 Acres,2 weeks 2 days ago
https://inciweb.nwcg.gov/incident-information//incident-information/caknp-august-lightning-fires,August Lightning Fires,Wildfire,California,4 Acres,2 weeks 3 days ago
https://inciweb.nwcg.gov/incident-information//incident-information/orfwf-morgan-fire,Morgan Fire,Wildfire,Oregon,2289 Acres,2 weeks 3 days ago
https://inciweb.nwcg.gov/incident-information//incident-information/caynp-marmot-fire,Marmot Fire,Wildfire,California,1 Acres,2 weeks 4 days ago
https://inciweb.nwcg.gov/incident-information//incident-information/caynp-chiquito-fire,Chiquito Fire,Wildfire,California,2 Acres,2 weeks 4 days ago
https://inciweb.nwcg.gov/incident-information//incident-information/caynp-jan-fire,Jan Fire,Wildfire,California,1 Acres,2 weeks 4 days ago
https://inciweb.nwcg.gov/incident-information//incident-information/idpaf-southwest-idaho-wildfire-crisis-strategy-prescribed-fire,Southwest Idaho Wildfire Crisis Strategy Prescribed Fire,Prescribed Fire,Idaho,Acres,2 weeks 5 days ago
https://inciweb.nwcg.gov/incident-information//incident-information/cosjd-southwest-district-blm-prescribed-fire,Southwest District BLM Prescribed Fire,Prescribed Fire,Colorado,Acres,2 weeks 6 days ago
https://inciweb.nwcg.gov/incident-information//incident-information/wa0617-2023-airplane-lake-owf,2023 Airplane Lake OWF,Wildfire,Washington,6956 Acres,2 weeks 6 days ago
https://inciweb.nwcg.gov/incident-information//incident-information/waowf-blue-lake-fire,Blue Lake Fire,Wildfire,Washington,1074 Acres,3 weeks ago
https://inciweb.nwcg.gov/incident-information//incident-information/nvhtf-htf-2023-initial-attack,HTF 2023 Initial Attack,Wildfire,Nevada,0 Acres,3 weeks 1 day ago
https://inciweb.nwcg.gov/incident-information//incident-information/nvhtf-wolf-creek-fire,Wolf Creek Fire,Wildfire,Nevada,33 Acres,3 weeks 1 day ago
